ID,Name,Activity,Country,Gender,BirthDate,Issue_Lev1,Issue_Lev2,Call_Category1,Call_Category2,Resolution,Verbatims
471,Albert Collet,Gold high activity,FR,M,24NOV1956,Bill and Payments,Equipment Upgrade Fee,Process & Efficiency,,Educated - Equipment upgrade fee,Customer service is no longer an option with your company
1228,José Fernández de Mesa,Gold low activity,ES,M,16JUN1971,Services Troubleshooting,Unable to Connect to Mobile Hotspot (TG),Repairs/Returns,,Resolved: Other troubleshooting,Had a great time fixing my problem
4984,Jim Coates,Gold low activity,GB,M,09DEC1966,Account,Wireless Number Change,Miscellaneous,,Resolved: Customer declined number change,I would only One question  like this one
6950,Janero Fredley,Gold low activity,US,M,20FEB1971,Bill,Balance Due: No Other Info Requested,Product Range & Avail,Process & Efficiency,Unable to resolve issue,"It started in Topeka, Kansas in December when I went to the MTT store to purchase two I Phone fives and signed up for Mobil share.  It became a nightmare. My home phone 785-272-1509 was disconnected for several days after a tech ca"
7757,I.H. Uytendaele,Gold low activity,NL,O,28JAN2000,Equipment,Suspend for Stolen Equipment,Miscellaneous,,Resolved: Suspended service and added to Blocklis,Awesome thank you
8945,Crae Hosley,Gold high activity,US,M,07JUL1996,Plans and Features,Mobile Share Data,Product Range & Avail,Data,Resolved: Upgraded plan,It was very good   I wish you had an unlimited data plan
8953,Sandi Barièiè,Gold low activity,SI,M,,Equipment,Navigate Menus,Network/Coverage,,Escalation to Management,Very frustrating overall as the time with Susan was just the start
8965,Ángel Bethencourt Gallagher,Gold high activity,ES,O,03NOV1971,Equipment,Warranty Exchange,Miscellaneous,,Resolved: Shared warranty exchange process,but Valerie accomplished her part
9043,Sheril Levin,Gold high activity,US,F,12MAR1956,Account,Do Not Call,Repairs/Returns,,Resolved: Shared details and information,I hope that you have  Good experience to fix it
9098,Nogarji Mcadam,Gold low activity,US,M,02MAR1946,Plans and Features,DataPro,Network/Coverage,,Please Specify,Is a great company I m very happy with you thanks
9361,Mary Soutesz,Gold high activity,US,F,04NOV2000,Services Troubleshooting,IMEI and SIM Change,Friendly & Courteous,,Changed IMEI and SIM card,Thankful
9375,Patricia Grahek,Gold low activity,US,F,08SEP1991,Account,myGTE Registration or Login Issues,Cost of Service,Helpfulness,Resolved: Shared how to set up,She told me where to look to register another account so I could pay both from the same site  Never could find the link where she told me it would be  She disconnected before it was resolved
9458,Judy Zagas,Gold low activity,AU,F,08JUL1996,Bill and Payments,Equipment Problem or Troubleshooting,Process & Efficiency,Friendly & Courteous,Transfer to TSD,I will never go back to union city tn store it needs to be closed    MTT needs to have all stores able to do the same work and sell the same things corporate stores can   Corporate stores are 70 miles from me that s to fare apart f
9562,Garnett Sartain,Gold low activity,US,M,13MAY1991,Account,General Information,Network/Coverage,,Resolved: Shared details and information,Es buena
9617,Andre Grosos,Gold low activity,FR,M,12JUL1986,Cancellation - Personal Circumstances,Saved,Friendly & Courteous,Helpfulness,Feature removed,Mike was great lots of help took him time to make sure I got the best deal for my money I was going to cancel my contract but he was able to get my bill  enough to stay with MTT and his help was over the top management material if
9621,Philippe Cambien,Gold high activity,FR,M,25APR1946,Equipment,Equipment Synchronization,Knowledge & Expertise,Product Range & Avai,Resolved: Shared how to use,Questions had to do with a  Iconia tablet  hp printer   My questions were not answered  but was told to call HP CS
9699,Federico Gayo,Gold high activity,ES,F,09MAY1966,Call Disconnected/Ended,Unable to VID Account,Cost of Service,,Call ended,Do not want any more text msg   After three calls and these  texts    My time is valuable   Have spent t  much time on a simple issue
9711,Uwe Krause,Gold low activity,DE,M,09MAY1961,Subscriber Maintenance,IMEI Change,Miscellaneous,,Unable to change IMEI,The guy at the MTT store in Huntington  NY who is named Piero was awesome
9795,Cheryl Mcarthur,Gold high activity,US,F,13SEP1966,Bill,Credit Adjustment,Cost of Service,,Completed,I was Jason could have told me how the  removed  feature was added to my account in the first place  but otherwise it was all good
9828,Valentín Álvarez Sanz,Gold low activity,ES,M,25AUG1966,Services Troubleshooting,Payment Arrangements,Miscellaneous,,Set up Payment Arrangement and Scheduled Payment,I am fully satisfied with your service   everytime I call for some problems   whoever answers my call will  take action right away  Thank you very much
9876,Agnese Schwinn,Gold high activity,CH,F,12NOV1981,Services Troubleshooting,Voicemail (TG),Hold Time,,Resolved: Corrected device settings,I cannot open my picture messages with out unblocking my Internet service  When I unblocked in the past I got tagged with charges of services I did not use
9925,Mireille Couque,Gold high activity,FR,F,,Plans and Features,GTE Smart Limits for Wireless,Helpfulness,,Resolved: Shared feature information,Well I called the first time  and I was told to go at MTT website and login  I never  I thought that I would not have any problem so I thanked your associate and hanged up  When I was online needed a code which generated second cal
10064,Shakil Deschaines,Gold high activity,US,,15APR1976,Plans and Features,Nation FamilyTalk,Friendly & Courteous,,Resolved: Shared plan information,2
10088,Nikolaus Drissler,Gold high activity,DE,M,21NOV1976,Bill,International Roaming Charges,Knowledge & Expertise,,Resolved: Issued adjustment and changed plan,Lori was very TCOMentive to my question  Was thorough in her response of how the incident occurred and what she was doing to correct the mTCOMer  She was excellent and I could not be more satisfied with her service and the result
